student_id,hours_studied,sleep_hours,attendance_percent,previous_scores,Exam_Score,Study_Efficiency,Performance
S001,8.0,8.8,72.1,45,30.2,0.9090909090909091,Needs Improvement
S002,1.3,8.6,60.7,55,25.0,0.15116279069767444,Needs Improvement
S003,4.0,8.2,73.7,86,35.8,0.48780487804878053,Good
S004,3.5,4.8,95.1,66,34.0,0.7291666666666667,Needs Improvement
S005,9.1,6.4,89.8,71,40.3,1.4218749999999998,Good
S006,8.4,5.1,58.5,75,35.7,1.647058823529412,Good
S007,10.8,6.0,54.2,88,37.9,1.8,Good
S008,2.0,4.3,75.8,55,18.3,0.46511627906976744,Needs Improvement
S009,5.6,5.9,81.6,84,34.7,0.9491525423728813,Needs Improvement
S010,1.3,8.9,66.8,70,24.7,0.14606741573033707,Needs Improvement
S011,3.4,5.3,90.9,81,29.3,0.6415094339622641,Needs Improvement
S012,6.6,7.9,87.6,85,35.1,0.8354430379746834,Good
S013,1.3,6.3,83.6,71,31.2,0.20634920634920637,Needs Improvement
S014,3.2,6.1,61.2,68,30.2,0.5245901639344263,Needs Improvement
S015,8.1,8.8,60.0,90,41.1,0.9204545454545453,Good
S016,7.0,9.0,51.2,41,34.1,0.7777777777777778,Needs Improvement
S017,3.4,6.8,62.2,45,28.9,0.5,Needs Improvement
S018,7.5,7.6,73.8,58,36.3,0.986842105263158,Good
S019,9.9,4.8,92.5,54,35.6,2.0625,Good
S020,1.1,5.5,53.6,65,17.1,0.2,Needs Improvement
S021,9.9,8.8,70.7,84,46.0,1.125,Good
S022,8.7,6.9,81.5,55,36.1,1.2608695652173911,Good
S023,4.7,6.7,59.7,59,29.6,0.7014925373134329,Needs Improvement
S024,2.7,7.7,84.8,82,35.9,0.35064935064935066,Good
S025,11.5,4.3,74.7,77,39.2,2.674418604651163,Good
S026,4.7,6.9,62.2,63,30.0,0.6811594202898551,Needs Improvement
S027,2.0,6.5,82.8,70,29.0,0.3076923076923077,Needs Improvement
S028,2.1,8.3,50.3,75,26.5,0.25301204819277107,Needs Improvement
S029,10.3,4.8,87.5,73,37.2,2.1458333333333335,Good
S030,7.6,8.8,88.5,62,36.2,0.8636363636363635,Good
S031,9.9,4.4,55.3,67,34.5,2.25,Needs Improvement
S032,9.0,4.9,71.3,87,41.6,1.8367346938775508,Good
S033,6.9,7.0,58.8,75,38.1,0.9857142857142858,Good
S034,11.7,7.4,97.9,61,42.7,1.581081081081081,Good
S035,5.2,5.2,75.9,62,32.0,1.0,Needs Improvement
S036,7.1,4.6,52.5,84,32.0,1.5434782608695652,Needs Improvement
S037,10.1,8.5,62.5,69,44.7,1.188235294117647,Good
S038,7.8,5.2,92.4,57,38.3,1.5,Good
S039,10.5,7.0,72.8,59,39.8,1.5,Good
S040,7.4,7.1,90.1,56,35.0,1.0422535211267607,Good
S041,8.8,6.1,83.4,54,34.2,1.4426229508196724,Needs Improvement
S042,1.5,6.9,99.4,47,23.1,0.21739130434782608,Needs Improvement
S043,3.5,6.6,79.8,86,37.2,0.5303030303030303,Good
S044,4.2,8.7,97.5,52,30.3,0.48275862068965525,Needs Improvement
S045,1.9,5.0,94.6,60,26.1,0.38,Needs Improvement
S046,3.6,7.6,80.6,47,31.8,0.4736842105263158,Needs Improvement
S047,2.1,5.2,86.0,87,31.6,0.40384615384615385,Needs Improvement
S048,4.1,6.0,75.2,74,31.1,0.6833333333333332,Needs Improvement
S049,8.0,7.4,91.5,88,41.2,1.081081081081081,Good
S050,5.0,5.5,77.4,84,30.6,0.9090909090909091,Needs Improvement
S051,5.1,5.6,94.9,51,28.8,0.9107142857142857,Needs Improvement
S052,3.3,7.8,87.2,52,30.7,0.4230769230769231,Needs Improvement
S053,3.9,4.4,73.7,53,26.9,0.8863636363636362,Needs Improvement
